ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
04/01/2006 12:00:00 AM,Terminal 7,Departure,International,39491
04/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,111821
04/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,108348
04/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2021
04/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,412808
04/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,338863
05/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,210
05/01/2006 12:00:00 AM,Imperial Terminal,Arrival,International,54
05/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,229
05/01/2006 12:00:00 AM,Imperial Terminal,Departure,International,45
05/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,286
05/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,254
05/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,449152
05/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,435464
05/01/2006 12:00:00 AM,Terminal 1,Departure,International,577
05/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,103178
05/01/2006 12:00:00 AM,Terminal 2,Arrival,International,154867
05/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,102882
05/01/2006 12:00:00 AM,Terminal 2,Departure,International,160172
05/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,141814
05/01/2006 12:00:00 AM,Terminal 3,Arrival,International,21559
05/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,145835
05/01/2006 12:00:00 AM,Terminal 3,Departure,International,56538
05/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,421319
05/01/2006 12:00:00 AM,Terminal 4,Arrival,International,63381
05/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,416106
05/01/2006 12:00:00 AM,Terminal 4,Departure,International,49805
05/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,150001
05/01/2006 12:00:00 AM,Terminal 5,Arrival,International,29699
05/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,146731
05/01/2006 12:00:00 AM,Terminal 5,Departure,International,28671
05/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,218606
05/01/2006 12:00:00 AM,Terminal 6,Arrival,International,4187
05/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,219638
05/01/2006 12:00:00 AM,Terminal 6,Departure,International,5009
05/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,278391
05/01/2006 12:00:00 AM,Terminal 7,Arrival,International,32810
05/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,278511
05/01/2006 12:00:00 AM,Terminal 7,Departure,International,36643
05/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,118195
05/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,113395
05/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2944
05/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,403756
05/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,386494
06/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,25
06/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,74
06/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,5
06/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,66
06/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,459302
06/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,460256
06/01/2006 12:00:00 AM,Terminal 1,Departure,International,652
06/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,108894
06/01/2006 12:00:00 AM,Terminal 2,Arrival,International,156867
06/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,112702
06/01/2006 12:00:00 AM,Terminal 2,Departure,International,175532
06/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,159549
06/01/2006 12:00:00 AM,Terminal 3,Arrival,International,19948
06/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,162854
06/01/2006 12:00:00 AM,Terminal 3,Departure,International,52990
06/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,428312
06/01/2006 12:00:00 AM,Terminal 4,Arrival,International,67925
06/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,436887
06/01/2006 12:00:00 AM,Terminal 4,Departure,International,53056
06/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,174320
06/01/2006 12:00:00 AM,Terminal 5,Arrival,International,25471
06/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,182546
06/01/2006 12:00:00 AM,Terminal 5,Departure,International,32616
06/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,232429
06/01/2006 12:00:00 AM,Terminal 6,Arrival,International,9126
